,510020.SH,510150.SH,510190.SH,510130.SH,510050.SH,510060.SH,510110.SH,510170.SH,510180.SH,510880.SH,510010.SH,510090.SH,510030.SH,510070.SH,510160.SH
2015-07-15,1.09977477477,1.25157742924,1.24755727763,1.11457270658,1.05475566023,1.07946413713,0.983513513514,1.03690456836,1.07280539125,1.1698384379,1.0454880144,1.06849398694,1.11420612813,1.28264758497,1.126147645
2015-07-16,1.09808558559,1.27149810708,1.25758086253,1.13450521855,1.04902852861,1.07963055417,0.974527027027,1.05348723785,1.07668991495,1.17667756963,1.04826965557,1.06812770893,1.10734947504,1.2819475772,1.13704560723
2015-07-17,1.12488738739,1.32522084009,1.30786725067,1.19289021424,1.07391746508,1.11249791979,0.994324324324,1.10486099821,1.11421088255,1.21627515115,1.08287654422,1.09895610769,1.12834797514,1.33398148868,1.18183175338
2015-07-20,1.11824324324,1.32314764738,1.31047843666,1.20834968218,1.06511266927,1.11391246464,0.984594594595,1.11802958868,1.11374003119,1.21929824561,1.07829501759,1.09407240095,1.1242054139,1.33997044412,1.17697992088
2015-07-21,1.10945945946,1.33153055706,1.31081536388,1.21619712783,1.0608842263,1.11241471127,0.976689189189,1.13119817916,1.11403431329,1.23025076816,1.07919496032,1.09266833527,1.12106278123,1.34463716264,1.18168246622
2015-07-22,1.09887387387,1.34126554895,1.31367924528,1.22796829632,1.04940320077,1.10675653187,0.965067567568,1.14371646887,1.11056178453,1.22762414511,1.07379530394,1.08393870948,1.10784943933,1.35599284436,1.18033888184
2015-07-23,1.12286036036,1.37786190734,1.34467654987,1.26642078004,1.06893967778,1.12447994675,0.983243243243,1.1775321086,1.13692946058,1.25101595797,1.09473942567,1.10561015811,1.12813370474,1.38663762931,1.21101739195
2015-07-24,1.10709459459,1.35559762034,1.32471361186,1.25119673546,1.04977787293,1.11116658346,0.966148648649,1.1648512437,1.11930196286,1.22990385568,1.07829501759,1.08833404554,1.11077780159,1.35467060745,1.19392401284
2015-07-27,1.00608108108,1.24887326483,1.21108490566,1.14659028486,0.955949258684,1.01389582293,0.883986486486,1.06714355389,1.02207115741,1.12682129051,0.985437290354,0.996215127282,1.01785586744,1.24928054756,1.08546689557
2015-07-28,0.992567567568,1.24923382008,1.19718665768,1.14243113866,0.952898356795,1.00507571975,0.891554054054,1.04243212486,1.01901062358,1.12305481217,0.985437290354,0.996154080947,1.01542746947,1.24733608151,1.07546465627
2015-07-29,1.01768018018,1.29349197765,1.24014487871,1.19469512674,0.970507948402,1.03486437011,0.899121621622,1.08470167452,1.04870368735,1.16607195956,1.01366276691,1.02380807033,1.03249767874,1.28863654041,1.11793685153
2015-07-30,0.995157657658,1.25365062196,1.20005053908,1.15969551911,0.945993684098,1.01339657181,0.876621621622,1.05446268899,1.02042317766,1.14382000198,0.986337233085,0.995482571272,1.00707092351,1.25394726608,1.07725610211
2015-07-31,0.989527027027,1.25184784568,1.19811320755,1.15498705171,0.943692126532,1.00615743052,0.876621621622,1.0398309218,1.01721550278,1.14382000198,0.985437290354,1.00048837067,1.00928505107,1.25799175546,1.08210793461
2015-08-03,0.995495495495,1.2513070128,1.19524932615,1.14902299302,0.950971471391,1.00540855384,0.889121621622,1.02780035767,1.01939319031,1.16190900981,0.990918759715,1.00915695013,1.02521248482,1.26328070312,1.10047025453
2015-08-04,1.02173423423,1.29944113935,1.23879716981,1.19689241152,0.971658727185,1.03220169745,0.903243243243,1.0760851894,1.05005738501,1.19516304887,1.01726253784,1.03485745681,1.04206842368,1.30598117757,1.13152198253
2015-08-05,1.00416666667,1.27239949522,1.20813679245,1.16879855607,0.953647701119,1.01547678482,0.882635135135,1.0580393432,1.02830993791,1.16909505402,0.997218358832,1.01593309322,1.02199842868,1.27665862954,1.10733746361
2015-08-06,1.00123873874,1.26194339282,1.1945754717,1.15765518324,0.945993684098,1.00665668164,0.876351351351,1.05348723785,1.01945204673,1.15928238676,0.989937004009,1.00763079177,1.01421327048,1.27066967411,1.09360304546
2015-08-07,1.01655405405,1.28898503696,1.22397237197,1.18621988543,0.959776267195,1.02304876019,0.8875,1.08063729475,1.03852152674,1.17930419269,1.00548146936,1.02344179232,1.02714091851,1.29268102979,1.1148018213
2015-08-10,1.06565315315,1.34721471065,1.28461927224,1.24766538492,1.00267622973,1.07671825595,0.920540540541,1.1468053975,1.08819634502,1.23025076816,1.05375112493,1.07203467432,1.06528105135,1.34261491794,1.17996566395
2015-08-11,1.05608108108,1.35262303948,1.28529312668,1.24790080829,0.992345982979,1.06906307206,0.912162162162,1.16696472118,1.08154556958,1.22688076123,1.0454880144,1.06104633417,1.05428183701,1.33468149646,1.17921922819
2015-08-12,1.04707207207,1.33982332793,1.26305592992,1.23299066154,0.980838195151,1.06207355633,0.899391891892,1.16598927004,1.06895029575,1.20195262167,1.03550683138,1.05152310604,1.04135418899,1.30668118535,1.1710830783
2015-08-13,1.06204954955,1.36361997476,1.28461927224,1.25975045123,0.988518974469,1.07114328507,0.905405405405,1.19411477808,1.08301698008,1.22271781148,1.04736971284,1.06122947317,1.04842511249,1.32262580695,1.19004254684
2015-08-14,1.05945945946,1.37038038579,1.28242924528,1.26194773601,0.987368195686,1.06981194874,0.904324324324,1.19671598114,1.0830758365,1.21895133314,1.04646977011,1.06470911422,1.04649667881,1.32464805165,1.19056505188
2015-08-17,1.05495495495,1.39561925365,1.28849393531,1.28054618222,0.977412621099,1.06040938592,0.894527027027,1.21541212811,1.08295812366,1.23629695708,1.04278818621,1.06122947317,1.03692593386,1.33398148868,1.19907441965
2015-08-18,0.993018018018,1.30746349378,1.19238544474,1.18606293651,0.923004870738,0.996255616575,0.8525,1.11998049098,1.01512609988,1.15249281396,0.978155935531,0.995543617606,0.984572530534,1.25200280003,1.10532208703
2015-08-19,1.00563063063,1.33207138994,1.21462264151,1.21313662403,0.93143499438,1.00723914129,0.860675675676,1.13168590473,1.03010505871,1.17667756963,0.992718645177,1.01019473781,0.99435754589,1.28264758497,1.13204448757
2015-08-20,0.973536036036,1.28844420407,1.18295148248,1.16997567292,0.903869828186,0.976784822766,0.837567567568,1.09380588522,0.997057179012,1.13589057389,0.963593225886,0.979183200049,0.971430612099,1.2406471183,1.10330671046
