,000032.SH,000033.SH,000034.SH,000035.SH,000036.SH,000037.SH,000038.SH,000039.SH,000040.SH,000041.SH,H00032.SH,H00033.SH,H00034.SH,H00035.SH,H00036.SH,H00037.SH,H00038.SH,H00039.SH,H00040.SH,H00041.SH
2009/4/22,2411.04,1995.58,2175.44,1771.53,3348.56,2223.17,2968.44,1874.96,1975.75,1936.51,0,0,0,0,0,0,0,0,0,0
2009/4/23,2304.99,1894.63,2092.67,1685.83,3212.6,2145.86,2878.17,1766.56,1997.43,1872.9,0,0,0,0,0,0,0,0,0,0
2009/4/24,2357.13,1907.35,2097.32,1702.77,3250.21,2149.86,2877.49,1780.87,2026.56,1896.06,0,0,0,0,0,0,0,0,0,0
2009/4/27,2352.45,1896.28,2075.33,1695.84,3231.85,2133.86,2841.14,1747.52,1999.77,1883.58,0,0,0,0,0,0,0,0,0,0
2009/4/28,2341.62,1833.75,2006.78,1633.47,3096.55,2139.27,2780.8,1703.02,2092.15,1813.91,0,0,0,0,0,0,0,0,0,0
2009/4/29,2355.88,1825.35,2010.76,1638.9,3115.44,2280.12,2787.72,1715.96,2065.74,1813.35,0,0,0,0,0,0,0,0,0,0
2009/4/30,2411.96,1867.53,2073.91,1702.33,3170.63,2243.96,2937.45,1761.76,2096.24,1859.41,0,0,0,0,0,0,0,0,0,0
2009/5/4,2420.38,1891.17,2093.63,1740.59,3188.53,2248.93,2930.01,1789.45,2125.34,1880.28,0,0,0,0,0,0,0,0,0,0
2009/5/5,2570.67,1969.06,2154.85,1781.65,3286.95,2283.79,3018.73,1840.52,2177.12,1935.7,0,0,0,0,0,0,0,0,0,0
2009/5/6,2556.68,1973.67,2180.99,1795.13,3313.5,2266.39,3030.0,1848.27,2137.34,1970.37,0,0,0,0,0,0,0,0,0,0
2009/5/7,2616.68,1994.6,2217.25,1836.36,3361.79,2270.36,3062.88,1856.57,2156.52,2000.73,0,0,0,0,0,0,0,0,0,0
2009/5/8,2655.52,2003.17,2194.91,1812.45,3327.91,2225.14,3102.86,1844.16,2118.74,1985.86,0,0,0,0,0,0,0,0,0,0
2009/5/11,2667.22,1982.53,2188.22,1795.57,3294.14,2225.53,3177.73,1849.75,2135.02,1985.45,0,0,0,0,0,0,0,0,0,0
2009/5/12,2570.77,1930.49,2121.58,1732.37,3196.79,2214.26,3144.29,1780.56,2158.92,1922.62,0,0,0,0,0,0,0,0,0,0
2009/5/13,2645.05,1975.66,2154.54,1803.52,3242.33,2214.9,3210.69,1816.76,2155.43,1970.09,0,0,0,0,0,0,0,0,0,0
2009/5/14,2736.9,2000.81,2170.52,1814.66,3257.72,2211.27,3225.63,1822.84,2134.24,1982.12,0,0,0,0,0,0,0,0,0,0
2009/5/15,2737.75,1976.74,2159.0,1814.92,3254.43,2230.76,3167.26,1838.62,2142.3,2005.85,0,0,0,0,0,0,0,0,0,0
2009/5/18,2762.99,1973.82,2162.47,1820.98,3263.46,2268.3,3171.41,1853.45,2117.03,1994.7,0,0,0,0,0,0,0,0,0,0
2009/5/19,2853.94,1984.99,2173.92,1838.19,3300.18,2242.07,3164.18,1847.55,2115.05,2009.67,0,0,0,0,0,0,0,0,0,0
2009/5/20,2867.62,2034.88,2191.51,1848.8,3313.69,2237.67,3211.52,1861.47,2131.05,2015.3,0,0,0,0,0,0,0,0,0,0
2009/5/21,2914.36,2006.55,2169.44,1834.44,3246.2,2196.09,3167.14,1843.31,2060.0,1999.24,0,0,0,0,0,0,0,0,0,0
2009/5/22,2832.28,1988.25,2119.6,1803.66,3173.6,2165.6,3090.38,1808.3,1990.38,1962.8,0,0,0,0,0,0,0,0,0,0
2009/5/25,2775.41,1974.561,2116.761,1810.473,3166.83,2168.178,3084.964,1829.706,2000.834,1970.364,0,0,0,0,0,0,0,0,0,0
2009/5/26,2793.049,1980.141,2123.147,1816.349,3151.015,2168.33,3098.936,1850.386,1989.047,1989.088,0,0,0,0,0,0,0,0,0,0
2009/5/27,2693.853,1952.415,2118.324,1825.01,3175.82,2180.382,3051.955,1867.053,1992.619,1979.637,0,0,0,0,0,0,0,0,0,0
2009/6/1,2720.258,1977.347,2137.027,1836.654,3180.36,2160.148,3144.076,1854.791,2001.59,1969.571,0,0,0,0,0,0,0,0,0,0
2009/6/2,2865.656,2063.805,2183.314,1864.983,3226.868,2194.874,3295.233,1873.909,2052.792,2002.784,0,0,0,0,0,0,0,0,0,0
2009/6/3,2840.335,2081.499,2199.521,1871.383,3284.439,2214.567,3282.35,1872.631,2085.31,2007.159,0,0,0,0,0,0,0,0,0,0
2009/6/4,2863.258,2138.226,2219.056,1880.695,3281.742,2209.444,3449.997,1867.76,2079.663,2017.082,0,0,0,0,0,0,0,0,0,0
